word,isPositive,isNegative
2-faced,0,1
2-faces,0,1
a+,1,0
abnormal,0,1
abolish,0,1
abominable,0,1
abominably,0,1
abominate,0,1
abomination,0,1
abort,0,1
aborted,0,1
aborts,0,1
abound,1,0
abounds,1,0
abrade,0,1
abrasive,0,1
abrupt,0,1
abruptly,0,1
abscond,0,1
absence,0,1
absentee,0,1
absent-minded,0,1
absurd,0,1
absurdity,0,1
absurdly,0,1
absurdness,0,1
abundance,1,0
abundant,1,0
abuse,0,1
abused,0,1
abuses,0,1
abusive,0,1
abysmal,0,1
abysmally,0,1
abyss,0,1
accessable,1,0
accessible,1,0
accidental,0,1
acclaim,1,0
acclaimed,1,0
acclamation,1,0
accolade,1,0
accolades,1,0
accommodative,1,0
accomodative,1,0
accomplish,1,0
accomplished,1,0
accomplishment,1,0
accomplishments,1,0
accost,0,1
accurate,1,0
accurately,1,0
accursed,0,1
accusation,0,1
accusations,0,1
accuse,0,1
accuses,0,1
accusing,0,1
accusingly,0,1
acerbate,0,1
acerbic,0,1
acerbically,0,1
ache,0,1
ached,0,1
aches,0,1
achey,0,1
achievable,1,0
achievement,1,0
achievements,1,0
achievible,1,0
aching,0,1
acrid,0,1
acridly,0,1
acridness,0,1
acrimonious,0,1
acrimoniously,0,1
acrimony,0,1
acumen,1,0
adamant,0,1
adamantly,0,1
adaptable,1,0
adaptive,1,0
addict,0,1
addicted,0,1
addicting,0,1
addicts,0,1
adequate,1,0
adjustable,1,0
admirable,1,0
admirably,1,0
admiration,1,0
admire,1,0
admirer,1,0
admiring,1,0
admiringly,1,0
admonish,0,1
admonisher,0,1
admonishingly,0,1
admonishment,0,1
admonition,0,1
adorable,1,0
adore,1,0
adored,1,0
adorer,1,0
adoring,1,0
adoringly,1,0
adroit,1,0
adroitly,1,0
adulate,1,0
adulation,1,0
adulatory,1,0
adulterate,0,1
adulterated,0,1
adulteration,0,1
adulterier,0,1
advanced,1,0
advantage,1,0
advantageous,1,0
advantageously,1,0
advantages,1,0
adventuresome,1,0
adventurous,1,0
adversarial,0,1
adversary,0,1
adverse,0,1
adversity,0,1
advocate,1,0
advocated,1,0
advocates,1,0
affability,1,0
affable,1,0
affably,1,0
affectation,1,0
affection,1,0
affectionate,1,0
affinity,1,0
affirm,1,0
affirmation,1,0
affirmative,1,0
afflict,0,1
affliction,0,1
afflictive,0,1
affluence,1,0
affluent,1,0
afford,1,0
affordable,1,0
affordably,1,0
affront,0,1
afordable,1,0
afraid,0,1
aggravate,0,1
aggravating,0,1
aggravation,0,1
aggression,0,1
aggressive,0,1
aggressiveness,0,1
aggressor,0,1
aggrieve,0,1
aggrieved,0,1
aggrivation,0,1
aghast,0,1
agile,1,0
agilely,1,0
agility,1,0
agonies,0,1
agonize,0,1
agonizing,0,1
agonizingly,0,1
agony,0,1
agreeable,1,0
agreeableness,1,0
agreeably,1,0
aground,0,1
ail,0,1
ailing,0,1
ailment,0,1
aimless,0,1
alarm,0,1
alarmed,0,1
alarming,0,1
alarmingly,0,1
alienate,0,1
alienated,0,1
alienation,0,1
all-around,1,0
allegation,0,1
allegations,0,1
